49.70.94.192,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
58.22.177.48,9999,福建省南平市,联通,2020/11/14,19:30:02
60.168.206.65,8888,安徽省合肥市,电信,2020/11/14,19:30:02
58.253.154.69,9999,广东省揭阳市,联通,2020/11/14,19:30:02
36.248.133.192,9999,福建省宁德市,联通,2020/11/14,19:30:02
49.70.33.163,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
49.65.112.24,8888,江苏省南京市,电信,2020/11/14,19:30:02
36.248.132.222,9999,福建省宁德市,联通,2020/11/14,19:30:02
39.108.59.34,8118,广东省深圳市,阿里云,2020/11/14,19:30:02
58.22.177.11,9999,福建省南平市,联通,2020/11/14,19:30:02
49.70.95.172,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
58.253.155.42,9999,广东省揭阳市,联通,2020/11/14,19:30:02
49.70.99.118,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
42.7.7.166,9999,辽宁省,联通,2020/11/14,19:30:02
58.22.177.165,9999,福建省南平市,联通,2020/11/14,19:30:02
36.57.77.147,9999,安徽省黄山市,电信,2020/11/14,19:30:02
123.56.118.36,8080,北京市,阿里云BGP数据中心,2020/11/14,19:30:02
58.220.95.78,9401,江苏省扬州市,电信,2020/11/14,19:30:02
36.248.132.33,9999,福建省宁德市,联通,2020/11/14,19:30:02
39.84.112.69,9999,山东省,联通,2020/11/14,19:30:02
27.43.191.234,9999,广东省梅州市,联通,2020/11/14,19:30:02
60.5.172.224,9999,河北省邯郸市,联通,2020/11/14,19:30:02
58.253.156.204,9999,广东省揭阳市,联通,2020/11/14,19:30:02
58.253.155.155,9999,广东省揭阳市,联通,2020/11/14,19:30:02
59.62.41.140,9000,江西省萍乡市,电信,2020/11/14,19:30:02
183.220.145.3,80,四川省自贡市,移动,2020/11/14,19:30:02
49.89.85.39,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
49.70.89.196,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
39.84.123.72,9999,山东省,联通,2020/11/14,19:30:02
49.70.99.49,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
36.249.119.40,9999,福建省泉州市,联通,2020/11/14,19:30:02
59.62.27.165,9000,江西省萍乡市,电信,2020/11/14,19:30:02
58.253.153.189,9999,广东省揭阳市,联通,2020/11/14,19:30:02
60.187.113.213,9000,浙江省绍兴市,电信,2020/11/14,19:30:02
39.67.193.245,9999,山东省临沂市,联通,2020/11/14,19:30:02
123.149.141.88,9999,河南省洛阳市,电信,2020/11/14,19:30:02
36.248.132.227,9999,福建省宁德市,联通,2020/11/14,19:30:02
36.250.156.153,9999,福建省宁德市,联通,2020/11/14,19:30:02
36.248.129.202,9999,福建省宁德市,联通,2020/11/14,19:30:02
36.248.133.111,9999,福建省宁德市,联通,2020/11/14,19:30:02
36.248.133.63,9999,福建省宁德市,联通,2020/11/14,19:30:02
49.70.99.73,9999,江苏省宿迁市,电信,2020/11/14,19:30:02
