五号线,西场,"113.238056,23.137381",广东省广州市荔湾区西场地铁站
五号线,西村,"113.234600,23.147956",广东省广州市白云区西村地铁站
五号线,广州火车站,"113.256603,23.148143",广东省广州市越秀区广州火车站地铁站
五号线,小北,"113.276905,23.139424",广东省广州市越秀区小北地铁站
五号线,淘金,"113.286549,23.136365",广东省广州市越秀区淘金地铁站
五号线,区庄,"113.296034,23.134279",广东省广州市越秀区区庄地铁站
五号线,动物园,"113.307131,23.134670",广东省广州市越秀区动物园地铁站
五号线,杨箕,"113.307692,23.127284",广东省广州市越秀区杨箕地铁站
五号线,五羊邨,"113.314249,23.119843",广东省广州市越秀区五羊邨地铁站
五号线,珠江新城,"113.320988,23.119410",广东省广州市天河区珠江新城地铁站
五号线,猎德,"113.332105,23.118539",广东省广州市天河区猎德地铁站
五号线,潭村,"113.345949,23.117366",广东省广州市天河区潭村地铁站
五号线,员村,"113.363663,23.115768",广东省广州市天河区员村地铁站
五号线,科韵路,"113.208384,23.113801",广东省广州市荔湾区科韵路地铁站
五号线,车陂南,"113.324479,23.131384",广东省广州市天河区南地铁站
五号线,东圃,"113.401562,23.109392",广东省广州市天河区东圃地铁站
五号线,三溪,"113.416003,23.104181",广东省广州市天河区三溪地铁站
五号线,鱼珠,"113.433266,23.101103",广东省广州市黄埔区鱼珠地铁站
五号线,大沙地,"113.446074,23.103227",广东省广州市黄埔区大沙地地铁站
五号线,大沙东,"113.208347,23.113744",广东省广州市荔湾区大沙东地铁站
五号线,文冲,"113.469004,23.103796",广东省广州市黄埔区文冲地铁站
六号线,浔峰岗,"113.201941,23.164110",广东省广州市白云区浔峰岗地铁站
六号线,横沙,"113.206791,23.158187",广东省广州市白云区横沙地铁站
六号线,沙贝,"113.211397,23.152430",广东省广州市白云区沙贝地铁站
六号线,河沙,"113.217405,23.135576",广东省广州市荔湾区河沙地铁站
六号线,坦尾,"113.218387,23.125234",广东省广州市荔湾区坦尾地铁站
六号线,如意坊,"113.231208,23.114978",广东省广州市荔湾区如意坊地铁站
六号线,黄沙,"113.239856,23.110524",广东省广州市荔湾区黄沙地铁站
六号线,文化公园,"113.248985,23.109271",广东省广州市荔湾区文化公园地铁站
六号线,一德路,"113.257106,23.112900",广东省广州市越秀区一德路地铁站
六号线,海珠广场,"113.265232,23.114591",广东省广州市越秀区海珠广场地铁站
六号线,北京路,"113.270268,23.118730",广东省广州市越秀区北京路地铁站
六号线,团一大广场,"113.277989,23.117837",广东省广州市越秀区团一大广场地铁站
六号线,东湖,"113.288583,23.115102",广东省广州市越秀区东湖地铁站
六号线,东山口,"113.295373,23.123980",广东省广州市越秀区东山口地铁站
六号线,区庄,"113.296034,23.134279",广东省广州市越秀区区庄地铁站
六号线,黄花岗,"113.299907,23.141128",广东省广州市越秀区黄花岗地铁站
六号线,沙河顶,"113.306967,23.147276",广东省广州市天河区沙河顶地铁站
六号线,天平架,"113.321353,23.159525",广东省广州市天河区天平架地铁站
六号线,燕塘,"113.327132,23.159980",广东省广州市天河区燕塘地铁站
六号线,天河客运站,"113.343702,23.170673",广东省广州市天河区天河客运站地铁站
六号线,长湴,"113.349435,23.178502",广东省广州市天河区长湴地铁站
六号线,植物园,"113.365686,23.190164",广东省广州市天河区植物园地铁站
六号线,龙洞,"113.377520,23.190960",广东省广州市天河区龙洞地铁站
六号线,柯木塱,"113.395991,23.193462",广东省广州市天河区柯木塱地铁站
六号线,高塘石,"113.201845,23.163807",广东省广州市白云区高塘石地铁站
六号线,黄陂,"113.433738,23.188379",广东省广州市黄埔区黄陂地铁站
六号线,金峰,"113.451182,23.181468",广东省广州市黄埔区金峰地铁站
六号线,暹岗,"113.202647,23.163017",广东省广州市白云区暹岗地铁站
六号线,苏元,"113.468534,23.170935",广东省广州市黄埔区苏元地铁站
六号线,萝岗,"113.481032,23.175684",广东省广州市黄埔区萝岗地铁站
六号线,香雪,"113.501197,23.172409",广东省广州市黄埔区香雪地铁站
七号线,广州南站,"113.406828,22.804050",广东省广州市南沙区广州南站地铁站
七号线,石壁,"113.277964,22.994136",广东省广州市番禺区石壁地铁站
七号线,谢村,"113.295832,22.990579",广东省广州市番禺区谢村地铁站
七号线,钟村,"113.316980,22.986437",广东省广州市番禺区钟村地铁站
七号线,汉溪长隆,"113.332310,22.992780",广东省广州市番禺区汉溪长隆地铁站
七号线,南村万博,"113.347555,23.004769",广东省广州市番禺区万博地铁站
七号线,员岗,"113.365641,23.015962",广东省广州市番禺区员岗地铁站
七号线,板桥,"113.388139,23.016845",广东省广州市番禺区板桥地铁站
七号线,大学城南,"113.400557,23.043313",广东省广州市番禺区大学城南地铁站
八号线,凤凰新村,"113.256390,23.095006",广东省广州市海珠区凤凰新村地铁站
八号线,沙园,"113.259726,23.089011",广东省广州市海珠区沙园地铁站
八号线,宝岗大道,"113.269700,23.086027",广东省广州市海珠区宝岗大道地铁站
八号线,昌岗,"113.276885,23.090654",广东省广州市海珠区昌岗地铁站
八号线,晓港,"113.281883,23.093066",广东省广州市海珠区晓港地铁站
八号线,中大,"113.292863,23.092124",广东省广州市海珠区中大地铁站
八号线,鹭江,"113.307242,23.095506",广东省广州市海珠区鹭江地铁站
八号线,客村,"113.320716,23.096099",广东省广州市海珠区客村地铁站
八号线,赤岗,"113.332275,23.096125",广东省广州市海珠区赤岗地铁站
八号线,磨碟沙,"113.341285,23.098689",广东省广州市海珠区磨碟沙地铁站
