线路,站名,坐标,全地名,总时间,时间1,距离1,行走距离1,费用1,夜班1,时间2,距离2,行走距离2,费用2,夜班2
八号线,鹭江,"113.307242,23.095506",广东省广州市海珠区鹭江地铁站,5809,3754,17285,2746,5.0,0,2055,6811,403,2.0,0
四号线,车陂,"113.395548,23.124465",广东省广州市天河区车陂地铁站,5817,3618,20827,2380,6.0,0,2199,7413,1744,3.0,0
广佛线,祖庙,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,5830,3029,15085,721,5.0,0,2801,14764,1372,4.0,0
广佛线,南桂路,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,5830,3029,15085,721,5.0,0,2801,14764,1372,4.0,0
广佛线,千灯湖,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,5830,3029,15085,721,5.0,0,2801,14764,1372,4.0,0
九号线,清㘵,"113.280570,23.082231",广东省广州市海珠区江泰路地铁站,5830,3029,15085,721,5.0,0,2801,14764,1372,4.0,0
二号线,石壁,"113.277964,22.994136",广东省广州市番禺区石壁地铁站,5842,2394,10930,189,5.0,0,3448,19256,457,5.0,0
七号线,石壁,"113.277964,22.994136",广东省广州市番禺区石壁地铁站,5842,2394,10930,189,5.0,0,3448,19256,457,5.0,0
三号线(北延段),燕塘,"113.327132,23.159980",广东省广州市天河区燕塘地铁站,5863,4125,22953,2608,6.0,0,1738,6511,231,4.0,0
六号线,燕塘,"113.327132,23.159980",广东省广州市天河区燕塘地铁站,5863,4125,22953,2608,6.0,0,1738,6511,231,4.0,0
广佛线,季华园,"113.327132,23.159980",广东省广州市天河区地铁站,5863,4125,22953,2608,6.0,0,1738,6511,231,4.0,0
五号线,东圃,"113.401562,23.109392",广东省广州市天河区东圃地铁站,5876,3756,21217,2380,6.0,0,2120,9893,271,5.0,0
五号线,动物园,"113.307131,23.134670",广东省广州市越秀区动物园地铁站,5881,4166,21687,2721,6.0,0,1715,4387,418,2.0,0
一号线,东山口,"113.295373,23.123980",广东省广州市越秀区东山口地铁站,5945,4124,22857,2608,6.0,0,1821,6442,1372,3.0,0
六号线,东山口,"113.295373,23.123980",广东省广州市越秀区东山口地铁站,5945,4124,22857,2608,6.0,0,1821,6442,1372,3.0,0
二号线,江泰路,"113.279980,23.082325",广东省广州市海珠区江泰路地铁站,5978,3103,15172,808,5.0,0,2875,14851,1459,4.0,0
二号线,纪念堂,"113.263431,23.132179",广东省广州市越秀区纪念堂地铁站,6005,3677,20867,721,6.0,0,2328,10318,1372,4.0,0
二号线,市二宫,"113.270313,23.106070",广东省广州市海珠区市二宫地铁站,6020,3596,20232,674,5.0,0,2424,10334,587,5.0,0
四号线,新造,"113.415625,23.028073",广东省广州市番禺区新造地铁站,6058,3121,17741,319,7.0,0,2937,20450,407,7.0,0
二号线,江南西,"113.273125,23.096475",广东省广州市海珠区江南西地铁站,6107,3438,17172,953,5.0,0,2669,11582,737,5.0,0
二号线,会江,"113.286394,23.013047",广东省广州市番禺区会江地铁站,6129,2886,13575,725,4.0,0,3243,16914,457,5.0,0
二号线,南浦,"113.269261,22.988720",广东省广州市番禺区南浦地铁站,6161,2554,12141,231,5.0,0,3607,20465,499,6.0,0
八号线,晓港,"113.281883,23.093066",广东省广州市海珠区晓港地铁站,6185,3842,18855,1211,4.0,0,2343,11479,1372,4.0,0
五号线,区庄,"113.296034,23.134279",广东省广州市越秀区区庄地铁站,6188,4320,22311,897,6.0,0,1868,4774,431,2.0,0
六号线,区庄,"113.296034,23.134279",广东省广州市越秀区区庄地铁站,6188,4320,22311,897,6.0,0,1868,4774,431,2.0,0
五号线,淘金,"113.286549,23.136365",广东省广州市越秀区淘金地铁站,6263,4293,23480,2608,6.0,0,1970,5951,286,2.0,0
一号线,农讲所,"113.275602,23.126623",广东省广州市越秀区农讲所地铁站,6269,4347,24952,2608,6.0,0,1922,6975,502,4.0,0
四号线,黄村,"113.407069,23.132112",广东省广州市天河区黄村地铁站,6335,3876,22554,2549,6.0,0,2459,9140,1913,3.0,0
三号线,番禺广场,"113.385437,22.935537",广东省广州市番禺区番禺广场地铁站,6364,2888,16060,590,6.0,0,3476,29013,414,9.0,0
四号线,黄阁,"113.385413,22.935556",广东省广州市番禺区黄阁地铁站,6364,2888,16060,590,6.0,0,3476,29013,414,9.0,0
二号线,越秀公园,"113.260671,23.140549",广东省广州市越秀区越秀公园地铁站,6366,3922,21901,889,6.0,0,2444,9782,662,5.0,0
一号线,烈士陵园,"113.283603,23.126130",广东省广州市越秀区烈士陵园地铁站,6431,4478,24256,2885,6.0,0,1953,6455,368,2.0,0
五号线,三溪,"113.416003,23.104181",广东省广州市天河区三溪地铁站,6476,4056,23048,2541,6.0,0,2420,11724,432,6.0,0
五号线,小北,"113.276905,23.139424",广东省广州市越秀区小北地铁站,6520,4414,24564,2608,6.0,0,2106,6901,218,2.0,0
广佛线,魁奇路,"113.276905,23.139424",广东省广州市越秀区地铁站,6520,4414,24564,2608,6.0,0,2106,6901,218,2.0,0
广佛线,金融高新区,"113.313499,23.151661",广东省广州市天河区地铁站,6594,4680,20812,2068,3.0,0,1914,6531,251,2.0,0
八号线,凤凰新村,"113.256390,23.095006",广东省广州市海珠区凤凰新村地铁站,6724,3756,19531,894,5.0,0,2968,15559,1541,5.0,0
五号线,鱼珠,"113.433266,23.101103",广东省广州市黄埔区鱼珠地铁站,6742,4189,24730,2503,6.0,0,2553,13406,394,6.0,0
十三号线,鱼珠,"113.433266,23.101103",广东省广州市黄埔区鱼珠地铁站,6742,4189,24730,2503,6.0,0,2553,13406,394,6.0,0
八号线,宝岗大道,"113.269700,23.086027",广东省广州市海珠区宝岗大道地铁站,6764,4196,22021,2608,6.0,0,2568,13240,1372,4.0,0
广佛线,虫雷 岗,"113.269700,23.086027",广东省广州市海珠区地铁站,6764,4196,22021,2608,6.0,0,2568,13240,1372,4.0,0
一号线,西门口,"113.255830,23.125219",广东省广州市越秀区西门口地铁站,6819,4557,26843,2608,6.0,0,2262,9194,321,5.0,0
五号线,大沙地,"113.446074,23.103227",广东省广州市黄埔区大沙地地铁站,6820,4228,26021,2380,6.0,0,2592,14697,271,7.0,0
一号线,黄沙,"113.239856,23.110524",广东省广州市荔湾区黄沙地铁站,6823,4251,26017,590,6.0,0,2572,12111,308,5.0,0
六号线,黄沙,"113.239856,23.110524",广东省广州市荔湾区黄沙地铁站,6823,4251,26017,590,6.0,0,2572,12111,308,5.0,0
广佛线,桂城,"113.239856,23.110524",广东省广州市荔湾区地铁站,6823,4251,26017,590,6.0,0,2572,12111,308,5.0,0
一号线,长寿路,"113.241752,23.118048",广东省广州市荔湾区长寿路地铁站,6837,4257,25176,721,6.0,0,2580,12517,1503,4.0,0
六号线,黄花岗,"113.299907,23.141128",广东省广州市越秀区黄花岗地铁站,6883,4773,24764,2608,6.0,0,2110,6457,395,2.0,0
四号线,石碁,"113.465198,22.957262",广东省广州市番禺区石碁地铁站,6920,3552,27646,214,8.0,0,3368,30355,302,9.0,0
广佛线,燕岗,"113.271988,23.075142",广东省广州市海珠区燕岗地铁站,6944,4059,16009,83,4.0,0,2885,13880,171,2.0,0
六号线,天平架,"113.321353,23.159525",广东省广州市天河区天平架地铁站,6961,4640,23468,2608,6.0,0,2321,7565,278,2.0,0
三号线(北延段),同和,"113.325987,23.196998",广东省广州市白云区同和地铁站,6971,4678,27902,2815,7.0,0,2293,11462,440,5.0,0
广佛线,同济路,"113.325987,23.196998",广东省广州市白云区同和地铁站,6971,4678,27902,2815,7.0,0,2293,11462,440,5.0,0
二号线,飞翔公园,"113.263752,23.168915",广东省广州市白云区飞翔公园地铁站,6996,4173,25623,722,7.0,0,2823,15073,1372,4.0,0
六号线,沙河顶,"113.306967,23.147276",广东省广州市天河区沙河顶地铁站,7054,4837,25737,2608,6.0,0,2217,7795,234,2.0,0
六号线,团一大广场,"113.277989,23.117837",广东省广州市越秀区团一大广场地铁站,7062,4867,25457,2664,6.0,0,2195,7477,252,2.0,0
三号线(北延段),永泰,"113.306295,23.220226",广东省广州市白云区永泰地铁站,7101,4744,31446,2608,7.0,0,2357,15004,231,6.0,0
六号线,东湖,"113.288583,23.115102",广东省广州市越秀区东湖地铁站,7103,4703,24292,2608,6.0,0,2400,7877,1372,3.0,0
八号线,沙园,"113.259726,23.089011",广东省广州市海珠区沙园地铁站,7205,4417,23277,2708,6.0,0,2788,14496,1472,5.0,0
广佛线,沙园,"113.259726,23.089011",广东省广州市海珠区沙园地铁站,7205,4417,23277,2708,6.0,0,2788,14496,1472,5.0,0
六号线,长湴,"113.349435,23.178502",广东省广州市天河区长湴地铁站,7208,4879,26418,2608,6.0,0,2329,7987,1485,3.0,0
二号线,海珠广场,"113.265232,23.114591",广东省广州市越秀区海珠广场地铁站,7210,4499,25870,2472,6.0,0,2711,9580,521,4.0,0
六号线,海珠广场,"113.265232,23.114591",广东省广州市越秀区海珠广场地铁站,7210,4499,25870,2472,6.0,0,2711,9580,521,4.0,0
十四号线,镇龙北,"113.298178,23.222382",广东省广州市白云区白云大道北地铁站,7275,4831,32315,2608,7.0,0,2444,15873,231,6.0,0
五号线,文冲,"113.469004,23.103796",广东省广州市黄埔区文冲地铁站,7344,4490,28495,2380,7.0,0,2854,17171,271,7.0,0
二号线,三元里,"113.257092,23.159128",广东省广州市越秀区三元里地铁站,7345,4429,26603,856,6.0,0,2916,13948,1642,4.0,0
一号线,陈家祠,"113.246726,23.125436",广东省广州市荔湾区陈家祠地铁站,7347,4825,27922,2804,6.0,0,2522,11507,1568,4.0,0
四号线,海傍,"113.475507,22.940031",广东省广州市番禺区海傍地铁站,7369,3747,30009,264,9.0,0,3622,30628,1825,7.0,0
广佛线,沙涌,"113.247092,23.083973",广东省广州市荔湾区沙涌地铁站,7370,4124,21034,551,4.0,0,3246,16821,1707,5.0,0
一号线,花地湾,"113.234030,23.087055",广东省广州市荔湾区花地湾地铁站,7378,4527,28887,590,6.0,0,2851,16228,1372,5.0,0
二号线,广州火车站,"113.256603,23.148143",广东省广州市越秀区广州火车站地铁站,7384,4838,29429,2380,6.0,0,2546,12282,1372,4.0,0
五号线,广州火车站,"113.256603,23.148143",广东省广州市越秀区广州火车站地铁站,7384,4838,29429,2380,6.0,0,2546,12282,1372,4.0,0
六号线,北京路,"113.270268,23.118730",广东省广州市越秀区北京路地铁站,7459,4951,26530,2380,6.0,0,2508,8538,578,2.0,0
广佛线,普君北路,"113.270268,23.118730",广东省广州市越秀区地铁站,7459,4951,26530,2380,6.0,0,2508,8538,578,2.0,0
六号线,如意坊,"113.231208,23.114978",广东省广州市荔湾区如意坊地铁站,7475,4346,23029,725,7.0,0,3129,14377,1372,5.0,0
广佛线,菊树,"113.212863,23.065868",广东省广州市荔湾区菊树地铁站,7527,4181,25325,721,7.0,0,3346,20605,1372,6.0,0
二号线,白云文化广场,"113.275602,23.189574",广东省广州市白云区白云文化广场地铁站,7548,4449,28398,722,7.0,0,3099,17848,1372,5.0,0
三号线(北延段),龙归,"113.300834,23.288736",广东省广州市白云区龙归地铁站,7548,4580,39453,648,9.0,0,2968,24173,225,8.0,0
四号线,低涌,"113.484809,22.919557",广东省广州市番禺区低涌地铁站,7559,3872,32442,224,9.0,0,3687,35151,312,10.0,0
二号线,嘉禾望岗,"113.289243,23.237460",广东省广州市白云区嘉禾望岗地铁站,7577,4985,34419,2608,7.0,0,2592,17971,225,7.0,0
三号线(北延段),嘉禾望岗,"113.289243,23.237460",广东省广州市白云区嘉禾望岗地铁站,7577,4985,34419,2608,7.0,0,2592,17971,225,7.0,0
十三号线,裕丰围,"113.454626,23.097206",广东省广州市黄埔区裕丰围,7593,4614,27395,2690,7.0,0,2979,16071,581,7.0,0
六号线,植物园,"113.365686,23.190164",广东省广州市天河区植物园地铁站,7608,5079,28781,2608,7.0,0,2529,10350,1485,3.0,0
五号线,西场,"113.238056,23.137381",广东省广州市荔湾区西场地铁站,7686,4914,29610,2608,7.0,0,2772,10515,316,2.0,0
广佛线,朝安,"113.238056,23.137381",广东省广州市荔湾区地铁站,7686,4914,29610,2608,7.0,0,2772,10515,316,2.0,0
六号线,一德路,"113.257106,23.112900",广东省广州市越秀区一德路地铁站,7698,4977,26622,2404,6.0,0,2721,10136,441,5.0,0
一号线,坑口,"113.232631,23.078395",广东省广州市荔湾区坑口地铁站,7725,4701,29933,668,6.0,0,3024,17274,1450,5.0,0
二号线,江夏,"113.283451,23.211301",广东省广州市白云区江夏地铁站,7746,4708,30945,722,8.0,0,3038,20791,1372,5.0,0
二号线,黄边,"113.287376,23.221645",广东省广州市白云区黄边地铁站,7746,4835,32173,722,8.0,0,2911,19563,1372,5.0,0
